Profile Name,Company Name,Experience,Apply By,Skills Required,Salary,Page,URL,Timestamp,City
Junior Loan Officer,WeMakeScholars,0 year(s),Not Found,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Sales, Telugu Proficiency (Spoken), Informal dress code, 5 days a week, Free snacks & beverages","₹ 4,06,000 - 4,30,000",3,https://internshala.com/job/detail/fresher-junior-loan-officer-job-in-multiple-locations-at-wemakescholars1745556092,01-05-2025 10:55,Jaipur
Financial Operations,WeMakeScholars,0 year(s),Not Found,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Sales, Telugu Proficiency (Spoken), Informal dress code, 5 days a week, Free snacks & beverages","₹ 4,06,000 - 4,30,000",3,https://internshala.com/job/detail/fresher-financial-operations-job-in-multiple-locations-at-wemakescholars1745497627,01-05-2025 10:55,Jaipur
Corporate Sales Executive,Pariworld Homedecor Private Limited,1 year(s),Not Found,"Effective Communication, English Proficiency (Spoken), MS-Excel, Retail Management","₹ 2,00,000 - 2,40,000",3,https://internshala.com/job/detail/corporate-sales-executive-job-in-jaipur-at-pariworld-homedecor-private-limited1745490414,01-05-2025 10:55,Jaipur
Financial Officer,WeMakeScholars,0 year(s),Not Found,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Kannada Proficiency (Spoken), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), Marketing, Sales, Tamil Proficiency (Spoken), Telugu Proficiency (Spoken), Informal dress code, 5 days a week","₹ 4,00,000 - 4,30,000",3,https://internshala.com/job/detail/fresher-financial-officer-job-in-multiple-locations-at-wemakescholars1745497593,01-05-2025 10:55,Jaipur
Business Development Associate,Urban Company,0 year(s),Not Found,"MS-Excel, Informal dress code, Free snacks & beverages, Health Insurance, Life Insurance","₹ 3,00,000 - 3,50,000",3,https://internshala.com/job/detail/fresher-business-development-associate-job-in-jaipur-at-urban-company1745488956,01-05-2025 10:55,Jaipur
Front Office Administrator,ThoughtsWin Systems,1 year(s),Not Found,"Administrative Support, MS-Excel, 5 days a week",Not Mentioned,3,https://internshala.com/job/detail/front-office-administrator-job-in-jaipur-at-thoughtswin-systems1745411849,01-05-2025 10:55,Jaipur
Telecaller,Cosmos Staffing Solutions,1 year(s),Not Found,"Effective Communication, MS-Excel, 5 days a week","₹ 2,00,000 - 3,00,000",3,https://internshala.com/job/detail/telecaller-job-in-jaipur-at-cosmos-staffing-solutions1745402958,01-05-2025 10:55,Jaipur
WordPress Developer,Orufy Technologies,1 year(s),Not Found,"Bubble.io, CSS, HTML, Laravel, Node.js, PHP, React, Shopify, WordPress, Informal dress code, 5 days a week, Free snacks & beverages","₹ 2,40,000 - 3,60,000",3,https://internshala.com/job/detail/wordpress-developer-job-in-jaipur-at-orufy-technologies1745397049,01-05-2025 10:55,Jaipur
Graphic Designer,Mr n Mrs Pet,1 year(s),Not Found,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, Canva, CorelDRAW, Video Editing, Informal dress code","₹ 2,00,000 - 3,50,000",3,https://internshala.com/job/detail/graphic-designer-job-in-jaipur-at-mr-n-mrs-pet1745394199,01-05-2025 10:55,Jaipur
Pet Nutritionist,Mr n Mrs Pet,1 year(s),Not Found,"Client Relationship, Dietetics/Nutrition, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Informal dress code","₹ 2,00,000 - 3,50,000",3,https://internshala.com/job/detail/pet-nutritionist-job-in-jaipur-at-mr-n-mrs-pet1745393747,01-05-2025 10:55,Jaipur
Content Writer,Mr n Mrs Pet,1 year(s),Not Found,"Blogging, Content Writing, Creative Writing, English Proficiency (Written), Proofreading, Search Engine Optimization (SEO)","₹ 2,00,000 - 4,00,000",3,https://internshala.com/job/detail/content-writer-job-in-jaipur-at-mr-n-mrs-pet1745393656,01-05-2025 10:55,Jaipur
Human Resources (HR) Executive,Miracle Group Of Companies - Jaipur,1 year(s),Not Found,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Health Insurance","₹ 3,00,000 - 3,50,000",3,https://internshala.com/job/detail/human-resources-hr-executive-job-in-jaipur-at-miracle-group-of-companies-jaipur1745389838,01-05-2025 10:55,Jaipur
Graphic Designer,ICS Global,1 year(s),Not Found,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, CorelDRAW, Informal dress code, 5 days a week, Free snacks & beverages, Health Insurance","₹ 4,25,000 - 5,50,000",3,https://internshala.com/job/detail/graphic-designer-job-in-jaipur-at-dipak-singh1745386185,01-05-2025 10:56,Jaipur
Transformation Executive,Apex Hospitals Private Limited,0 year(s),Not Found,"Blogging, Content Writing, Social Media Marketing","₹ 3,60,000 - 4,20,000",3,https://internshala.com/job/detail/fresher-transformation-executive-job-in-jaipur-at-apex-hospitals-private-limited1745332357,01-05-2025 10:56,Jaipur
Junior Operations Executive,Career Connect Global,0 year(s),Not Found,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), MS-Office, Operations, Informal dress code, 5 days a week, Free snacks & beverages","₹ 2,00,000 - 3,00,000",3,https://internshala.com/job/detail/fresher-junior-operations-executive-job-in-jaipur-at-career-connect-global1745322941,01-05-2025 10:56,Jaipur
Associate Accountant,WeMakeScholars,1 year(s),Not Found,"Accounting, Mathematics, Informal dress code, 5 days a week","₹ 3,00,000 - 4,00,000",3,https://internshala.com/job/detail/associate-accountant-job-in-multiple-locations-at-wemakescholars1745322165,01-05-2025 10:56,Jaipur
Sales Engineer (Mechanical Sales),Industrial Equipment Company,1 year(s),Not Found,"English Proficiency (Written), Microsoft Outlook, MS-Excel, Sales, Sales Management, Sales Strategy, Free snacks & beverages, Health Insurance, Life Insurance","₹ 3,04,999 - 6,00,000",3,https://internshala.com/job/detail/sales-engineer-mechanical-sales-job-in-multiple-locations-at-industrial-equipment-company1745317738,01-05-2025 10:56,Jaipur
Fashion Designer,Vaibhav & Mitali,0 year(s),Not Found,"Adobe Photoshop, Color Theory, CorelDRAW, Fashion Designing, MS-Excel, Procreate, Sales, Sketching, Informal dress code","₹ 2,00,000 - 4,00,000",3,https://internshala.com/job/detail/fresher-fashion-designer-job-in-jaipur-at-vaibhav-mitali1745312470,01-05-2025 10:56,Jaipur
